speaker-name,start-time,end-time,text,,translation
Gaëtane,00:00:00.23,00:00:08.10,"Malheureusement, je suis encore tombée amoureuse d'une dame.",,"Unfortunately, I fell in love with a lady again, a lady who must have been 35 years old while I was fifteen, you know."
Gaëtane,00:00:08.10,00:00:21.23,"Une dame qui devait avoir 35 ans alors que moi j'en avais quinze, quoi.",,
Gaëtane,00:00:22.01,00:00:29.23,Qui était...,,Who was...
Gaëtane,00:00:30.01,00:00:35.20,"Qui etait comme elle était, quoi. Je la trouvais chouette.",,Who was like she was. I thought she was cool.
Gaëtane,00:00:35.20,00:00:47.20,"Et je me suis dit non, ça recommence. Et j'étais. J'étais très très furieuse contre moi même. Mais je pouvais rien. C'était comme ça. ",,"And I said to myself no, it's starting again. And I was... I was very very furious with myself. But I couldn't do anything. That's how it was."
Gaëtane,00:00:47.20,00:00:56.21,"Et je me suis dit c'est pas possible, je peux pas continuer comme ça. Alors je me souviens, je m'étais promené sur les falaises.",,"And I said to myself it's not possible, I can't go on like this. So I remember, I had walked on the cliffs."
Gaëtane,00:00:56.21,00:01:13.08,"Il y avait des falaises à Saturna où on regardait la mer. Et je me disais Non, c'est... c'est pas possible. Mais j'ai pas sauté.",,"There were cliffs on Saturna where we looked at the sea. And I said to myself No, it's... it's not possible. But I didn't jump."
Gaëtane,00:01:13.10,00:01:22.30,"Et c'est là que je me suis mise à faire des... Tous les soirs, vers 6, 7 h du soir, ",,"And that's when I started doing... Every night, around 6, 7 o'clock at night, I was going to explode. So I had to do something. Either I broke a chair, or I walked around naked singing the Marseillaise at the top of my lungs, or I unrolled toilet paper down the stairs. Every night. I had to do it and they had the patience to put up with it."
Gaëtane,00:01:22.30,00:01:40.31,"j'allais exploser. Alors il fallait que je fasse quelque chose. Soit je cassais le chaise, soit je me promenais à poil en chantant la Marseillaise à tue tête, soit je déroulait du papier toilette dans les escaliers. ",,
Gaëtane,00:01:40.31,00:01:44.01,Tous les soirs. Il fallait que je fasse et ils ont eu la patience de supporter.,,
