speaker-name,start-time,end-time,text,,translation
Gaëtane,00:00:01.05,00:00:08.00,"Et entre temps, mon frère s'est suicidé, quoi. Mon frère Michel.  Voilà. ",,"And in the meantime, my brother committed suicide, you know. My brother Michel. That's it."
Alicia,00:00:08.00,00:00:12.00,Pendant tes études?,,During your studies?
Gaëtane,00:00:13.00,00:00:30.30,"Non. Non, mais ça a été dur tout court. Ça a été pour moi, ça a été insupportable. Et Hélène, elle a eu ses cheveux blancs. Ouais, parce que là, elle a rencontré quelqu'un qui travaillait à l'hôpital psychiatrique ou était Michel. ",,"No. No, but it was hard, period. It was unbearable for me. And Hélène, she got her white hair. Yeah, because then she met someone who worked at the psychiatric hospital where Michel was."
Gaëtane,00:00:30.30,00:00:51.16,"Qui lui a dit, mais Michel... Elle lui a dit ""Si, si c'est celui auquel je pense, Il a été assassiné."" C'est au début qu'on se connaissait. Donc elle a demandé à son ami ""Est ce que tu as connu un garçon...""",,"Who told her Michel... She told him ""Yes, if it's the one I'm thinking of, he was murdered."" That's when we first knew each other. So she asked her friend ""Did you know a boy..."""
Hélène,00:00:51.18,00:01:00.12,"Parce qu'elle travaillait dans ce toile infirmière, dans cet hôpital psychiatrique. Gaëtane m'avait dit que son frère s'était suicidé.",,"Because she worked in this nurse's office, in this psychiatric hospital. Gaëtane had told me that her brother had committed suicide."
Gaëtane,00:01:00.14,00:01:02.08,Elle ne savait pas le nom de mon frère.,,She didn't know my brother's name.
Hélène,00:01:02.08,00:01:29.14,"Elle l'avait... Elle l'avait soignée. Elle le connaissait bien. Et puis quand il s'est échappé, qu'ils l'ont retrouvé mort ? Ils ont pas cru qu'il s'était suicidé, à l'hôpital. Ils ont pensé que quelqu'un l'avait poussé ou que c'était... Ça m'a terrorisée. Et le lendemain matin, quand je me suis levé, j'étais blanche comme ça, alors que j'étais blonde comme les blés.",,"She had... She had taken care of him. She knew him well. And then when he escaped, when they found him dead? They didn't think he had committed suicide, in the hospital. They thought someone had pushed him or that it was... It terrified me. And the next morning, when I got up, I was white as that, when I was blonde as wheat."
Alicia,00:01:29.16,00:01:31.30,Ça t'a donné des doutes ? ,,Did that give you doubts?
Hélène,00:01:32.00,00:01:34.09,"Oui, on a cherché, après.",,"Yes, we looked afterwards."
Hélène,00:01:34.09,00:01:38.10,"On a cherché et non, il y avait des témoins, quelqu'un qui l'avait vu.",,"We looked and no, there were witnesses, someone who had seen him."
Gaëtane,00:01:38.10,00:01:45.12,"Oui, il y avait quelqu'un qui l'avait vu sauter. Et qui avait eu très peur et qui était parti quoi.",,"Yes, there was someone who saw him jump. And who was very scared and who left."
Hélène,00:01:45.14,00:01:46.18,Donc...,,So...
Gaëtane,00:01:46.20,00:01:48.14,"Mais non, il s'est suicidé.",,"But no, he committed suicide."
