speaker-name,start-time,end-time,text,,translation
Gaëtane,00:00:00.07,00:00:11.40,"Et Hélène... Quand je l'ai connue au début, je lui ai dit ""Mais tu travailles Hélène ?"" Et elle m'a dit ""Mais c'est normal, Oui, je travaille."" ",,"And Helen... When I first met her, I said to her ""But do you work Helen?"" And she said to me ""But it's normal, Yes, I work."" "
Gaëtane,00:00:11.40,00:00:19.00,"Pour moi, ce n'était pas normal parce que tous les gens que j'avais connu, ma mère travaillait pas, mon père travaillait pas, Nell travaillait pas...",,"For me, it wasn't normal because every person that I had known, my mother didn't work, my father didn't work, Nell didn't work..."
Hélène,00:00:19.00,00:00:22.00,Dora fait des confitures.,,Dora made jams.
Alicia,00:00:24.00,00:00:36.00,"Ouais... Tout le monde dans notre famille, je pense que cette génération était très divorcé de la réalité de l'argent et de se soutenir.",,"Yeah... Everyone in our family, I think that generation they were very divorced from the reality of money, and supporting themselves."
Gaëtane,00:00:36.00,00:00:46.00,"Ah oui. Ah oui, l'argent. L'argent. On parlait pas d'argent dans la famille. Je sais pas si tu si tu as vécu ça, mais l'argent c'était quelque chose. ",,"Oh yeah. Oh yeah, money. Money. We didn't talk about money in the family. I don't know if you experienced this, but money was something. "
Gaëtane,00:00:46.00,00:00:49.00,C'était un peu comme la sexualité quoi. On l'as parlé pas.,,It was a bit like sexuality. We didn't talk about it. 
Hélène,00:00:49.00,00:00:51.00,Mal élevé de parler de l'argent.,,It's rude to talk about money.
Gaëtane,00:00:51.00,00:00:55.00,"Oui, très mal élevé. Parce que grand mère avait un peu honte d'avoir tant d'argent.",,"Yes, very badly brought up. Because grandma was a bit ashamed of having so much money."
Gaëtane,00:00:55.00,00:01:02.00,Elle avait vraiment beaucoup et d'ailleurs tout a disparu. ,,She really had a lot and besides everything disappeared. 
Gaëtane,00:01:02.00,00:01:06.15,Mais il y a un petit morceau qui est dans le mas ici quand même.,,But there is a small piece which is in the farmhouse here anyway.
